P0_TC,P0_IC,P0_OC,TC,IC,OC,SIC_Q,SOC_Q,TC_Q,Fizz
3.93,0.62,3.31,4.71,0.79,3.83,FTIR,FTIR,FTIR,P
4.61,0.7,3.91,4.67,0.86,3.66,FTIR,FTIR,FTIR,P
4.52,0.69,3.83,4.66,0.82,3.75,FTIR,FTIR,FTIR,P
4,0.66,3.34,4.76,0.83,3.81,FTIR,FTIR,FTIR,P
4.24,0.73,3.51,4.46,0.85,3.57,FTIR,FTIR,FTIR,P
3.38,0.51,2.87,3,0.69,2.34,FTIR,FTIR,FTIR,P
2.75,0.62,2.13,2.64,0.69,1.92,FTIR,FTIR,FTIR,P
3.5,0.4,3.1,3.1,0.61,2.58,FTIR,FTIR,FTIR,P
2.73,0.67,2.06,2.46,0.7,1.78,FTIR,FTIR,FTIR,P
3.21,0.61,2.6,2.82,0.66,2.2,FTIR,FTIR,FTIR,P
1.37,0,1.37,1.41,0,1.45,FTIR,FTIR,FTIR, N
1.35,0,1.35,1.5,0,1.57,FTIR,FTIR,FTIR, N
1.37,0,1.37,1.24,0,1.29,FTIR,FTIR,FTIR, N
1.27,0,1.27,1.32,0,1.34,FTIR,FTIR,FTIR, N
1.17,0,1.17,1.17,0,1.17,FTIR,FTIR,FTIR, N
1.63,0.85,0.78,1.76,0.93,0.46,FTIR,FTIR,FTIR,P
1.69,0.87,0.82,1.88,0.95,0.45,FTIR,FTIR,FTIR,P
1.69,0.84,0.85,1.62,0.79,0.43,FTIR,FTIR,FTIR,P
1.78,0.88,0.9,1.87,0.97,0.52,FTIR,FTIR,FTIR,P
1.73,0.85,0.89,1.77,0.92,0.52,FTIR,FTIR,FTIR,P
1.06,0,1.06,0.72,0,0.66,FTIR,FTIR,FTIR, N
1.18,0,1.18,0.77,0,0.7,FTIR,FTIR,FTIR, N
1.09,0,1.09,0.66,0,0.63,FTIR,FTIR,FTIR, N
1.08,0,1.08,0.76,0,0.63,FTIR,FTIR,FTIR, N
1.11,0,1.11,0.86,0,0.73,FTIR,FTIR,FTIR, N
1.06,0,1.06,0.77,0,0.6,FTIR,FTIR,FTIR, N
